"","NAME","SIGNIFICANT","SERIOUS","SYSTEM_TYPE","FATAL","INJURE","TOTAL_COST_CURRENT","MAP_CAUSE","year","CoF"
"1036","TENNESSEE GAS PIPELINE CO","NO","NO","GT (Gas Transmission)",0,0,"100677.605210421","EXCAVATION DAMAGE",2001,100678
"1037","SOUTHERN NATURAL GAS CO","YES","NO","GT (Gas Transmission)",0,0,"129442.635270541","ALL OTHER CAUSES",2001,129443
"1038","MID LOUISIANA GAS CO","YES","NO","GT (Gas Transmission)",0,0,"647213.176352705","CORROSION",2001,647213
"1039","U G I CORP","YES","NO","GT (Gas Transmission)",0,0,"115060.120240481","EXCAVATION DAMAGE",2001,115060
"1040","CROSSTEX PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"178343.186372746","EXCAVATION DAMAGE",2001,178343
"1041","NORTHWEST PIPELINE CORP (WGP)","NO","NO","GT (Gas Transmission)",0,0,"92357.3202655311","ALL OTHER CAUSES",2001,92357
"1042","GULF SOUTH PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"166621.436623246","CORROSION",2001,166621
"1043","COLUMBIA GAS TRANSMISSION CORP","YES","NO","GT (Gas Transmission)",0,0,"143825.150300601","MATERIAL/WELD/EQUIP FAILURE",2001,143825
"1044","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"395519.163326653","NATURAL FORCE DAMAGE",2001,395519
"1045","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"819803.356713427","NATURAL FORCE DAMAGE",2001,819803
"1046","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"176904.934869739","CORROSION",2001,176905
"1047","TRANSOK INC","YES","NO","GT (Gas Transmission)",0,0,"154612.036573146","ALL OTHER CAUSES",2001,154612
"1048","GULF SOUTH PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"128916.235220441","MATERIAL/WELD/EQUIP FAILURE",2001,128916
"1049","WILLIAMS FIELD SERVICES","YES","NO","GT (Gas Transmission)",0,0,"359562.875751503","ALL OTHER CAUSES",2001,359563
"1050","COLUMBIA GAS TRANSMISSION CORP","YES","NO","GT (Gas Transmission)",0,0,"500511.523046092","MATERIAL/WELD/EQUIP FAILURE",2001,500512
"1051","COLUMBIA GAS OF PENNSYLVANIA","YES","NO","GT (Gas Transmission)",0,0,"143825.150300601","EXCAVATION DAMAGE",2001,143825
"1052","WILLIAMS GAS PIPELINE CENTRAL, INC.","YES","NO","GT (Gas Transmission)",0,0,"1150601.20240481","CORROSION",2001,1150601
"1053","RELIANT ENERGY GAS TRANSMISSION","YES","YES","GT (Gas Transmission)",0,1,"0","ALL OTHER CAUSES",2001,3333333
"1054","OKLAHOMA NATURAL GAS CO","NO","NO","GT (Gas Transmission)",0,0,"79103.8326653307","EXCAVATION DAMAGE",2001,79104
"1055","WILLIAMS GAS PIPELINE CENTRAL, INC.","NO","NO","GT (Gas Transmission)",0,0,"71912.5751503006","ALL OTHER CAUSES",2001,71913
"1056","WILLIAMS GAS PIPELINE CENTRAL, INC.","NO","NO","GT (Gas Transmission)",0,0,"71912.5751503006","ALL OTHER CAUSES",2001,71913
"1057","WILLIAMS ENERGY GROUP-FIELD SERVICES","YES","NO","GG (Gas Gathering)",0,0,"647213.176352705","CORROSION",2001,647213
"1058","NATURAL GAS PIPELINE CO OF AMERICA (KMI)","YES","NO","GT (Gas Transmission)",0,0,"233500.131513026","CORROSION",2001,233500
"1059","PACIFIC GAS & ELECTRIC CO","YES","NO","GT (Gas Transmission)",0,0,"172590.180360721","EXCAVATION DAMAGE",2001,172590
"1060","WILLIAMS ENERGY GROUP-FIELD SERVICES","YES","NO","GG (Gas Gathering)",0,0,"431475.450901804","CORROSION",2001,431475
"1061","MICHIGAN CONSOLIDATED GAS CO (MICHCON)","YES","YES","GT (Gas Transmission)",0,2,"0","ALL OTHER CAUSES",2001,6666667
"1062","NORTHERN NATURAL GAS CO (ENRON)","YES","NO","GT (Gas Transmission)",0,0,"1692984.38367706","CORROSION",2002,1692984
"1063","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"2473186.79027594","MATERIAL/WELD/EQUIP FAILURE",2002,2473187
"1064","WILLIAMS FIELD SERVICES","YES","NO","GG (Gas Gathering)",0,0,"262084.669002891","CORROSION",2002,262085
"1065","EL PASO FIELD SERVICES","YES","NO","GT (Gas Transmission)",0,0,"241955.44172603","ALL OTHER CAUSES",2002,241955
"1066","WILLIAMS GAS PIPELINE - TRANSCO","YES","NO","GT (Gas Transmission)",0,0,"477741.866693954","MATERIAL/WELD/EQUIP FAILURE",2002,477742
"1067","GREAT LAKES GAS TRANSMISSION CO","YES","NO","GT (Gas Transmission)",0,0,"4171596.52207326","MATERIAL/WELD/EQUIP FAILURE",2002,4171597
"1068","NATURAL GAS PIPELINE CO OF AMERICA (KMI)","NO","NO","GT (Gas Transmission)",0,0,"1678.71867878823","EXCAVATION DAMAGE",2002,1679
"1069","NORTHERN NATURAL GAS CO (ENRON)","YES","NO","GT (Gas Transmission)",0,0,"69961.2811416863","OTHER OUTSIDE FORCE DAMAGE",2002,69961
"1070","COLORADO INTERSTATE GAS CO","YES","NO","GT (Gas Transmission)",0,0,"143905.804178396","MATERIAL/WELD/EQUIP FAILURE",2002,143906
"1071","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"79457.0072384673","CORROSION",2002,79457
"1072","MISSISSIPPI RIVER TRANSMISSION CORP","YES","NO","GT (Gas Transmission)",0,0,"192190.000191494","NATURAL FORCE DAMAGE",2002,192190
"1073","ENOGEX INC  (EX. MUSTANG FUEL CORP)","YES","YES","GT (Gas Transmission)",1,0,"133084.023055859","EXCAVATION DAMAGE",2002,10133084
"1074","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"126909.348011336","CORROSION",2002,126909
"1075","DOMINION TRANSMISSION INC","NO","NO","GT (Gas Transmission)",0,0,"58507.8620191111","ALL OTHER CAUSES",2002,58508
"1076","NORTHWEST PIPELINE CORP (WGP)","YES","NO","GT (Gas Transmission)",0,0,"218067.927653626","ALL OTHER CAUSES",2002,218068
"1077","UNION OIL CO OF CALIFORNIA","YES","YES","GG (Gas Gathering)",0,1,"35104.7172114666","OTHER OUTSIDE FORCE DAMAGE",2002,3368438
"1078","MONTANA POWER CO","NO","NO","GT (Gas Transmission)",0,0,"60961.8616073993","NATURAL FORCE DAMAGE",2002,60962
"1079","FLORIDA GAS TRANSMISSION CO (ENRON)","YES","NO","GT (Gas Transmission)",0,0,"187782.570709102","MATERIAL/WELD/EQUIP FAILURE",2002,187783
"1080","SOUTHERN NATURAL GAS CO","YES","YES","GT (Gas Transmission)",0,1,"49264.6067530304","MATERIAL/WELD/EQUIP FAILURE",2002,3382598
"1081","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"81911.0068267555","MATERIAL/WELD/EQUIP FAILURE",2002,81911
"1082","ANR PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"2830623.59850443","INCORRECT OPERATION",2002,2830624
"1083","TEXAS NATURAL GAS CO","YES","YES","GT (Gas Transmission)",0,2,"198.178007889546","MATERIAL/WELD/EQUIP FAILURE",2002,6666865
"1084","TXU GAS DISTRIBUTION","YES","NO","GT (Gas Transmission)",0,0,"139592.520250474","EXCAVATION DAMAGE",2002,139593
"1085","TENNESSEE GAS PIPELINE CO","NO","NO","GT (Gas Transmission)",0,0,"81394.5389546351","ALL OTHER CAUSES",2002,81395
"1086","CENTRAL HUDSON GAS & ELECTRIC CORP","YES","NO","GT (Gas Transmission)",0,0,"223430.667260298","EXCAVATION DAMAGE",2002,223431
"1087","PACIFIC GAS & ELECTRIC CO","YES","YES","GT (Gas Transmission)",0,1,"65301.4352463568","EXCAVATION DAMAGE",2002,3398635
"1088","SOUTHERN STAR CENTRAL GAS PIPELINE","NO","NO","GT (Gas Transmission)",0,0,"89998.5137444706","EXCAVATION DAMAGE",2002,89999
"1089","SEA ROBIN PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"339414.707864173","CORROSION",2002,339415
"1090","COLORADO INTERSTATE GAS CO","NO","NO","GT (Gas Transmission)",0,0,"52995.3778173532","EXCAVATION DAMAGE",2002,52995
"1091","WILLIAMS GAS PIPELINE - TRANSCO","YES","NO","GT (Gas Transmission)",0,0,"708240.978246299","MATERIAL/WELD/EQUIP FAILURE",2002,708241
"1092","COLUMBIA GULF TRANSMISSION CO","YES","NO","GT (Gas Transmission)",0,0,"228658.938693246","CORROSION",2002,228659
"1093","EL PASO NATURAL GAS CO","NO","NO","GT (Gas Transmission)",0,0,"20882.0354838092","EXCAVATION DAMAGE",2002,20882
"1094","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"331994.614235652","CORROSION",2002,331995
"1095","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"117868.362344651","OTHER OUTSIDE FORCE DAMAGE",2002,117868
"1096","ANR PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"117868.362344651","CORROSION",2002,117868
"1097","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"215107.851726317","CORROSION",2002,215108
"1098","COLUMBIA GAS TRANSMISSION CORP","YES","NO","GT (Gas Transmission)",0,0,"2774975.84750388","NATURAL FORCE DAMAGE",2002,2774976
"1099","SOUTHWEST GAS CORP","YES","NO","GT (Gas Transmission)",0,0,"241774.785790199","EXCAVATION DAMAGE",2002,241775
"1100","K N INTERSTATE GAS TRANSMISSION CO","YES","NO","GT (Gas Transmission)",0,0,"89845.0189387411","CORROSION",2002,89845
"1101","SOUTHERN NATURAL GAS CO","YES","NO","GT (Gas Transmission)",0,0,"132023.934336761","MATERIAL/WELD/EQUIP FAILURE",2002,132024
"1102","TRUNKLINE GAS CO","YES","NO","GT (Gas Transmission)",0,0,"193989.456025832","CORROSION",2002,193989
"1103","MARATHON ASHLAND PIPE LINE LLC","YES","NO","GT (Gas Transmission)",0,0,"169950.092060665","ALL OTHER CAUSES",2002,169950
"1104","TEXAS EASTERN TRANSMISSION CORP (DUKE)","YES","NO","GT (Gas Transmission)",0,0,"328568.082087426","CORROSION",2002,328568
"1105","ANR PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"143229.200178089","MATERIAL/WELD/EQUIP FAILURE",2002,143229
"1106","EXXON CO USA - NEW ORLEANS PRODUCTION ORGANIZATION","YES","NO","GG (Gas Gathering)",0,0,"424667.159763313","NATURAL FORCE DAMAGE",2002,424667
"1107","TXU LONE STAR PIPELINE","YES","NO","GT (Gas Transmission)",0,0,"106577.210916107","MATERIAL/WELD/EQUIP FAILURE",2002,106577
"1108","SOUTHERN NATURAL GAS CO","NO","NO","GT (Gas Transmission)",0,0,"31565.824213439","MATERIAL/WELD/EQUIP FAILURE",2002,31566
"1109","NATURAL GAS PIPELINE CO OF AMERICA (KMI)","YES","NO","GT (Gas Transmission)",0,0,"162014.065222803","CORROSION",2002,162014
"1110","FLORIDA GAS TRANSMISSION CO (ENRON)","YES","NO","GT (Gas Transmission)",0,0,"158375.988150122","MATERIAL/WELD/EQUIP FAILURE",2002,158376
"1111","BRIDGELINE GAS DISTRIBUTION LLC","YES","NO","GT (Gas Transmission)",0,0,"155922.869306649","MATERIAL/WELD/EQUIP FAILURE",2002,155923
"1112","NORTHERN NATURAL GAS CO","YES","NO","GT (Gas Transmission)",0,0,"419795.2200743","CORROSION",2002,419795
"1113","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"4296515.41046705","NATURAL FORCE DAMAGE",2002,4296515
"1114","COLUMBIA GULF TRANSMISSION CO","YES","NO","GT (Gas Transmission)",0,0,"2123335.79881657","NATURAL FORCE DAMAGE",2002,2123336
"1115","NORTHERN NATURAL GAS CO","YES","NO","GT (Gas Transmission)",0,0,"173371.251687539","EXCAVATION DAMAGE",2002,173371
"1116","VENOCO, INC","NO","NO","GG (Gas Gathering)",0,0,"27102.173933858","EXCAVATION DAMAGE",2002,27102
"1117","GREAT PLAINS NATURAL GAS CO","NO","NO","GT (Gas Transmission)",0,0,"98843.6039859443","OTHER OUTSIDE FORCE DAMAGE",2002,98844
"1118","NATURAL GAS PIPELINE CO OF AMERICA (KMI)","YES","NO","GT (Gas Transmission)",0,0,"123525.084496658","MATERIAL/WELD/EQUIP FAILURE",2002,123525
"1119","TXU FUEL CO","YES","NO","GT (Gas Transmission)",0,0,"155514.474540893","OTHER OUTSIDE FORCE DAMAGE",2002,155514
"1120","SOUTHERN CALIFORNIA GAS CO","YES","NO","GT (Gas Transmission)",0,0,"229123.448899868","MATERIAL/WELD/EQUIP FAILURE",2002,229123
"1121","NORTH CAROLINA NATURAL GAS CORP","YES","NO","GT (Gas Transmission)",0,0,"178936.687028446","EXCAVATION DAMAGE",2002,178937
"1122","COLORADO INTERSTATE GAS CO","YES","NO","GT (Gas Transmission)",0,0,"97667.9401007258","MATERIAL/WELD/EQUIP FAILURE",2002,97668
"1123","WILLIAMS FIELD SERVICES","YES","NO","GG (Gas Gathering)",0,0,"930928.452046351","CORROSION",2002,930928
"1124","ANR PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"1035918.54863465","NATURAL FORCE DAMAGE",2002,1035919
"1125","WILLIAMS GAS PIPELINE - TRANSCO","NO","NO","GT (Gas Transmission)",0,0,"71240.2386013289","OTHER OUTSIDE FORCE DAMAGE",2002,71240
"1126","INDUSTRIAL GAS SUPPLY CORP","YES","NO","GT (Gas Transmission)",0,0,"138218.213293024","MATERIAL/WELD/EQUIP FAILURE",2002,138218
"1127","CENTERPOINT ENERGY GAS TRANSMISSION","NO","NO","GT (Gas Transmission)",0,0,"68416.7624135884","CORROSION",2002,68417
"1128","PRAXAIR, INC","NO","NO","GT (Gas Transmission)",0,0,"58471.8025315486","MATERIAL/WELD/EQUIP FAILURE",2002,58472
"1129","STINGRAY PIPELINE CO","NO","NO","GG (Gas Gathering)",0,0,"78193.4886013289","CORROSION",2002,78193
"1130","TEJAS GAS PIPELINE LP","YES","NO","GT (Gas Transmission)",0,0,"636145.077937994","CORROSION",2002,636145
"1131","GULF SOUTH PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"181147.375098141","ALL OTHER CAUSES",2002,181147
"1132","SOUTHERN NATURAL GAS CO","YES","NO","GT (Gas Transmission)",0,0,"858232.291815074","OTHER OUTSIDE FORCE DAMAGE",2002,858232
"1133","GULF SOUTH PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"129962.32597997","MATERIAL/WELD/EQUIP FAILURE",2002,129962
"1134","STINGRAY PIPELINE CO","NO","NO","GG (Gas Gathering)",0,0,"37924.9281347542","MATERIAL/WELD/EQUIP FAILURE",2002,37925
"1135","CENTERPOINT ENERGY GAS TRANSMISSION","NO","NO","GT (Gas Transmission)",0,0,"70779.2755177515","MATERIAL/WELD/EQUIP FAILURE",2002,70779
"1136","GULF SOUTH PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"77225.5603153908","MATERIAL/WELD/EQUIP FAILURE",2003,77226
"1137","HOUSTON PIPELINE CO","NO","NO","GT (Gas Transmission)",0,0,"94415.5868807568","EXCAVATION DAMAGE",2002,94416
"1138","ACADIAN GAS PIPELINE SYSTEM","YES","NO","GT (Gas Transmission)",0,0,"574150","OTHER OUTSIDE FORCE DAMAGE",2003,574150
"1139","SOUTHERN CALIFORNIA GAS CO","YES","NO","GT (Gas Transmission)",0,0,"431611.330477432","ALL OTHER CAUSES",2003,431611
"1140","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"153572.589557335","CORROSION",2003,153573
"1141","WILLIAMS GAS PIPELINE - TRANSCO","YES","NO","GT (Gas Transmission)",0,0,"1833526.47699758","ALL OTHER CAUSES",2003,1833526
"1142","ANR PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"659784.357732663","MATERIAL/WELD/EQUIP FAILURE",2003,659784
"1143","ANR PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"280618.99174272","CORROSION",2003,280619
"1144","SOUTHERN NATURAL GAS CO","NO","NO","GT (Gas Transmission)",0,0,"55314.0420314149","MATERIAL/WELD/EQUIP FAILURE",2003,55314
"1145","HOUSTON PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"234439.459862172","EXCAVATION DAMAGE",2003,234439
"1146","CENTERPOINT ENERGY GAS TRANSMISSION","NO","NO","GT (Gas Transmission)",0,0,"76273.5146209722","CORROSION",2003,76274
"1147","NORTHERN NATURAL GAS CO","YES","NO","GT (Gas Transmission)",0,0,"1502405.61708574","CORROSION",2003,1502406
"1148","TEXAS EASTERN TRANSMISSION CORP (DUKE)","YES","NO","GT (Gas Transmission)",0,0,"4536202.05811138","CORROSION",2003,4536202
"1149","COLUMBIA GAS TRANSMISSION CORP","YES","NO","GT (Gas Transmission)",0,0,"650919.408282113","OTHER OUTSIDE FORCE DAMAGE",2003,650919
"1150","EL PASO NATURAL GAS CO","YES","NO","GT (Gas Transmission)",0,0,"93438.401937046","MATERIAL/WELD/EQUIP FAILURE",2003,93438
"1151","EL PASO NATURAL GAS CO","YES","NO","GT (Gas Transmission)",0,0,"87816.5533929347","MATERIAL/WELD/EQUIP FAILURE",2003,87817
"1152","TXU LONE STAR PIPELINE","YES","YES","GT (Gas Transmission)",0,1,"44380.4746818154","EXCAVATION DAMAGE",2003,3377714
"1153","DOMINION TRANSMISSION INC","NO","NO","GT (Gas Transmission)",0,0,"72525.9315825417","CORROSION",2003,72526
"1154","FLORIDA GAS TRANSMISSION CO (ENRON)","YES","NO","GT (Gas Transmission)",0,0,"100554.258676352","MATERIAL/WELD/EQUIP FAILURE",2003,100554
"1155","NATURAL GAS PIPELINE CO OF AMERICA (KMI)","NO","NO","GT (Gas Transmission)",0,0,"46337.4153846154","MATERIAL/WELD/EQUIP FAILURE",2003,46337
"1156","WILLIAMS FIELD SERVICES","YES","NO","GT (Gas Transmission)",0,0,"405323.154529087","CORROSION",2003,405323
"1157","NATURAL GAS PIPELINE CO OF AMERICA (KMI)","YES","YES","GT (Gas Transmission)",0,1,"0","INCORRECT OPERATION",2003,3333333
"1158","EL PASO FIELD SERVICES","NO","NO","GT (Gas Transmission)",0,0,"651.282051282051","MATERIAL/WELD/EQUIP FAILURE",2003,651
"1159","ANR PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"113323.076923077","MATERIAL/WELD/EQUIP FAILURE",2003,113323
"1160","COLORADO INTERSTATE GAS CO","YES","NO","GT (Gas Transmission)",0,0,"923045.57024896","MATERIAL/WELD/EQUIP FAILURE",2003,923046
"1161","ATLANTA GAS LIGHT CO","NO","NO","GT (Gas Transmission)",0,0,"58101.7009250636","EXCAVATION DAMAGE",2003,58102
"1162","COPANO GATHERING SYSTEM, INC","NO","NO","GG (Gas Gathering)",0,0,"50366.6744272676","EXCAVATION DAMAGE",2003,50367
"1163","KERN RIVER GAS TRANSMISSION CO (WGP)","YES","NO","GT (Gas Transmission)",0,0,"170993.82566586","ALL OTHER CAUSES",2003,170994
"1164","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"258690.948171602","CORROSION",2003,258691
"1165","GULF SOUTH PIPELINE COMPANY, LP","YES","NO","GT (Gas Transmission)",0,0,"116493.26068775","CORROSION",2002,116493
"1166","SOUTHERN CALIFORNIA GAS CO","YES","NO","GT (Gas Transmission)",0,0,"3453316.91190166","CORROSION",2003,3453317
"1167","EQUITRANS INC","YES","NO","GT (Gas Transmission)",0,0,"208529.055690073","ALL OTHER CAUSES",2003,208529
"1168","TEJAS GAS PIPELINE LP","YES","NO","GT (Gas Transmission)",0,0,"112415.451698019","EXCAVATION DAMAGE",2003,112415
"1169","NORTHERN NATURAL GAS CO","YES","YES","GT (Gas Transmission)",0,1,"2122413.6338238","MATERIAL/WELD/EQUIP FAILURE",2003,5455747
"1170","TEXACO PIPELINES, LLC","NO","NO","GT (Gas Transmission)",0,0,"62480.8984820264","MATERIAL/WELD/EQUIP FAILURE",2003,62481
"1171","GULF SOUTH PIPELINE COMPANY, LP","YES","NO","GT (Gas Transmission)",0,0,"312513.341007016","ALL OTHER CAUSES",2003,312513
"1172","EL PASO FIELD SERVICES","YES","NO","GT (Gas Transmission)",0,0,"63656.3217855591","EXCAVATION DAMAGE",2003,63656
"1173","EL PASO FIELD SERVICES","YES","NO","GT (Gas Transmission)",0,0,"115037.307040417","ALL OTHER CAUSES",2003,115037
"1174","NORTHWEST PIPELINE CORP (WGP)","YES","NO","GT (Gas Transmission)",0,0,"113395.474017508","CORROSION",2003,113395
"1175","BEAR CREEK STORAGE CO","YES","NO","GT (Gas Transmission)",0,0,"422528.880610914","MATERIAL/WELD/EQUIP FAILURE",2003,422529
"1176","ANR PIPELINE CO","NO","NO","GT (Gas Transmission)",0,0,"41751.5609672813","NATURAL FORCE DAMAGE",2003,41752
"1177","GULF SOUTH PIPELINE COMPANY, LP","YES","NO","GT (Gas Transmission)",0,0,"262848.883721363","OTHER OUTSIDE FORCE DAMAGE",2003,262849
"1178","DUKE ENERGY FIELD SERVICES INC","YES","NO","GG (Gas Gathering)",0,0,"118180.579872105","CORROSION",2003,118181
"1179","OSPREY PETROLEUM CO INC","NO","NO","GT (Gas Transmission)",0,0,"82973.4742658471","CORROSION",2003,82973
"1180","GULF SOUTH PIPELINE COMPANY, LP","YES","NO","GT (Gas Transmission)",0,0,"107938.805457255","CORROSION",2003,107939
"1181","PACIFIC GAS & ELECTRIC CO","NO","NO","GT (Gas Transmission)",0,0,"90788.8588812317","EXCAVATION DAMAGE",2003,90789
"1182","CENTERPOINT ENERGY PIPELINE SERVICES","YES","NO","GT (Gas Transmission)",0,0,"434088.645110821","NATURAL FORCE DAMAGE",2003,434089
"1183","NORTHWEST PIPELINE CORP (WGP)","YES","NO","GT (Gas Transmission)",0,0,"236024.551710436","MATERIAL/WELD/EQUIP FAILURE",2003,236025
"1184","HOUSTON PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"7911394.98882473","CORROSION",2003,7911395
"1185","HOUSTON PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"961803.144595517","ALL OTHER CAUSES",2003,961803
"1186","EL PASO NATURAL GAS CO","NO","NO","GT (Gas Transmission)",0,0,"36038.3988328056","EXCAVATION DAMAGE",2003,36038
"1187","TENNESSEE GAS PIPELINE CO","YES","NO","GT (Gas Transmission)",0,0,"698353.262556652","NATURAL FORCE DAMAGE",2003,698353
"1188","NORTHERN NATURAL GAS CO","YES","NO","GT (Gas Transmission)",0,0,"8957061.20941206","CORROSION",2003,8957061
"1189","COLORADO INTERSTATE GAS CO","YES","NO","GT (Gas Transmission)",0,0,"254118.799279816","MATERIAL/WELD/EQUIP FAILURE",2003,254119
"1190","NORTHERN NATURAL GAS CO","YES","NO","GT (Gas Transmission)",0,0,"329144.191587508","MATERIAL/WELD/EQUIP FAILURE",2003,329144
"1191","NORTHERN NATURAL GAS CO","YES","NO","GT (Gas Transmission)",0,0,"57768.7179487179","INCORRECT OPERATION",2003,57769
"1192","ATLANTA GAS LIGHT CO","YES","NO","GT (Gas Transmission)",0,0,"932001.19480971","EXCAVATION DAMAGE",2003,932001
"1193","TEXAS EASTERN TRANSMISSION CORP (DUKE)","NO","NO","GT (Gas Transmission)",0,0,"47208.5152418203","OTHER OUTSIDE FORCE DAMAGE",2003,47209
"1194","SOUTHERN STAR CENTRAL GAS PIPELINE, INC","YES","NO","GT (Gas Transmission)",0,0,"92424.7384615385","MATERIAL/WELD/EQUIP FAILURE",2003,92425
"1195","COLUMBIA GULF TRANSMISSION CO","YES","NO","GT (Gas Transmission)",0,0,"382303.268765133","CORROSION",2003,382303
"1196","PUBLIC SERVICE COMPANY OF NEW MEXICO - GAS SVCS","NO","NO","GT (Gas Transmission)",0,0,"69464.5185385236","NATURAL FORCE DAMAGE",2003,69465
"1197","GULF SOUTH PIPELINE COMPANY, LP","NO","NO","GT (Gas Transmission)",0,0,"69196.9929285404","INCORRECT OPERATION",2003,69197
"1198","TEXAS EASTERN TRANSMISSION CORP (DUKE)","YES","NO","GT (Gas Transmission)",0,0,"515022.952753461","OTHER OUTSIDE FORCE DAMAGE",2003,515023
"1199","NATURAL GAS PIPELINE CO OF AMERICA (KMI)","YES","NO","GT (Gas Transmission)",0,0,"253360.404879866","MATERIAL/WELD/EQUIP FAILURE",2003,253360
"1200","DYNEGY MIDSTREAM SERVICES, L.P.","YES","NO","GG (Gas Gathering)",0,0,"254320.053392935","CORROSION",2003,254320
"1201","ANR PIPELINE CO","NO","NO","GT (Gas Transmission)",0,0,"86668.0325324393","CORROSION",2003,86668
"1202","MISSISSIPPI RIVER TRANSMISSION CORP","YES","NO","GT (Gas Transmission)",0,0,"120813.604768113","EXCAVATION DAMAGE",2003,120814
"1203","PACIFIC GAS & ELECTRIC CO","YES","YES","GT (Gas Transmission)",1,1,"657549.742348047","EXCAVATION DAMAGE",2003,13990883
"1204","TXU LONE STAR PIPELINE","YES","NO","GT (Gas Transmission)",0,0,"278038.740920097","INCORRECT OPERATION",2003,278039
"1205","COLUMBIA GAS TRANSMISSION CORP","YES","YES","GT (Gas Transmission)",0,1,"0","INCORRECT OPERATION",2003,3333333
"1206","TEXAS EASTERN TRANSMISSION CORP (DUKE)","YES","NO","GT (Gas Transmission)",0,0,"1570507.6898243","OTHER OUTSIDE FORCE DAMAGE",2003,1570508
"1207","NORTH CAROLINA NATURAL GAS CORP","YES","NO","GT (Gas Transmission)",0,0,"511591.381877444","EXCAVATION DAMAGE",2003,511591
"1208","SABINE GAS TRANSMISSION CO","YES","NO","GT (Gas Transmission)",0,0,"3101052.95834109","ALL OTHER CAUSES",2003,3101053
"1209","GREAT LAKES GAS TRANSMISSION CO","YES","NO","GT (Gas Transmission)",0,0,"243339.605140622","ALL OTHER CAUSES",2003,243340
"1210","LOUISIANA INTRASTATE GAS CO, L.L.C.","YES","YES","GT (Gas Transmission)",0,1,"38602.3821940771","OTHER OUTSIDE FORCE DAMAGE",2003,3371936
"1211","WESTAR TRANSMISSION CO","YES","NO","GT (Gas Transmission)",0,0,"84104.6102564103","INCORRECT OPERATION",2003,84105
"1212","TEXAS EASTERN TRANSMISSION CORP (DUKE)","YES","NO","GT (Gas Transmission)",0,0,"604262.708760166","CORROSION",2003,604263
"1213","NORTHWEST PIPELINE CORP (WGP)","YES","NO","GT (Gas Transmission)",0,0,"101157.240951139","MATERIAL/WELD/EQUIP FAILURE",2003,101157
"1214","NORTHWEST PIPELINE CORP (WGP)","YES","NO","GT (Gas Transmission)",0,0,"101822.778915999","MATERIAL/WELD/EQUIP FAILURE",2003,101823
"1215","FLORIDA GAS TRANSMISSION COMPANY","NO","NO","GT (Gas Transmission)",0,0,"45536.9579251257","EXCAVATION DAMAGE",2003,45537
"1216","TEXAS EASTERN TRANSMISSION CORP (DUKE)","YES","NO","GT (Gas Transmission)",0,0,"3972363.82939095","MATERIAL/WELD/EQUIP FAILURE",2003,3972364
"1217","LAVACA PIPELINE CO","NO","NO","GT (Gas Transmission)",0,0,"936.190010554417","CORROSION",2003,936
"1218","CENTERPOINT ENERGY GAS TRANSMISSION","YES","NO","GT (Gas Transmission)",0,0,"120041.414400571","INCORRECT OPERATION",2003,120041
"1219","SOUTHERN NATURAL GAS CO","YES","YES","GT (Gas Transmission)",0,1,"0","MATERIAL/WELD/EQUIP FAILURE",2003,3333333
"1220","NORTHWEST PIPELINE CORP (WGP)","NO","NO","GT (Gas Transmission)",0,0,"47300.983199851","MATERIAL/WELD/EQUIP FAILURE",2003,47301
